instrument_id,binance_symbol,cmc_lookup_symbol,binance_asset_name,candidate_cmc_ids,category,recommended_cmc_id,recommended_cmc_slug,rationale,next_evidence
1000pepeusdc,1000PEPE,PEPE,Pepe,22454|24478|24549|32527,easy-to-resolve,24478,pepe,Binance asset name “Pepe” selects Pepe over ticker-collision meme projects.,"Record a manual alias/override, then attach the CMC ID."
1000pepeusdt,1000PEPE,PEPE,Pepe,22454|24478|24549|32527,easy-to-resolve,24478,pepe,Binance asset name “Pepe” selects Pepe over ticker-collision meme projects.,"Record a manual alias/override, then attach the CMC ID."
1000shibbusd,1000SHIB,SHIB,SHIBA INU,5994|31501,easy-to-resolve,5994,shiba-inu,Binance asset name “SHIBA INU” selects Shiba Inu over the Solana token.,"Record a manual alias/override, then attach the CMC ID."
1000shibusdc,1000SHIB,SHIB,SHIBA INU,5994|31501,easy-to-resolve,5994,shiba-inu,Binance asset name “SHIBA INU” selects Shiba Inu over the Solana token.,"Record a manual alias/override, then attach the CMC ID."
1000shibusdt,1000SHIB,SHIB,SHIBA INU,5994|31501,easy-to-resolve,5994,shiba-inu,Binance asset name “SHIBA INU” selects Shiba Inu over the Solana token.,"Record a manual alias/override, then attach the CMC ID."
aaplusdt,AAPL,AAPL,,39491|39624|40703,hard-to-resolve,,,Competing Apple tokenized-stock issuers; issuer or contract address is required.,"Obtain issuer, network, and contract-address evidence before mapping."
altusdt,ALT,ALT,AltLayer,10897|29073,easy-to-resolve,29073,altlayer,Binance asset name “AltLayer” exactly identifies AltLayer over Alitas.,"Record a manual alias/override, then attach the CMC ID."
amznusdt,AMZN,AMZN,,39471|39619|40718,hard-to-resolve,,,Competing Amazon tokenized-stock issuers; issuer or contract address is required.,"Obtain issuer, network, and contract-address evidence before mapping."
apebusd,APE,APE,ApeCoin,7257|18876,easy-to-resolve,7257,apecoin,Binance asset name “ApeCoin” exactly identifies ApeCoin over ApeCoin-APE.,"Record a manual alias/override, then attach the CMC ID."
apeusdt,APE,APE,ApeCoin,7257|18876,easy-to-resolve,7257,apecoin,Binance asset name “ApeCoin” exactly identifies ApeCoin over ApeCoin-APE.,"Record a manual alias/override, then attach the CMC ID."
arcusdt,ARC,ARC,,,hard-to-resolve,,,No candidate price history or Binance asset identity is available; contract address is required.,"Obtain issuer, network, and contract-address evidence before mapping."
botusdt,BOT,BOT,Bounce Token,40584|40816,hard-to-resolve,,,"Binance identifies Bounce Token, while price-compatible candidates are RoboStrategy tokenized-stock products; resolve the apparent symbol reuse with contract/issuer evidence.","Obtain issuer, network, and contract-address evidence before mapping."
ethbtc,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethbusd,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethu,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusd1,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdc,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_210326,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_210625,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
